Fecha;Shopping;Cant. Público;dia_semana;nombre_dia;6c;7c;8c;9c;10c;11c;12c;13c;14c;15c;16c;17c;18c;19c;20c;21c;22c;23c
2021-09-03;Cordoba;9883.0;4;Viernes;0;0;0;0;417;588;739;834;891;910;948;1024;1138;1214;1176;0;0;0
2021-09-04;Cordoba;14833.0;5;Sábado;0;0;0;0;491;726;940;1111;1239;1346;1496;1709;1923;1987;1859;0;0;0
2021-09-05;Cordoba;10810.0;6;Domingo;0;0;0;0;261;414;598;752;890;1013;1151;1335;1504;1535;1351;0;0;0
2021-09-06;Cordoba;6782.0;0;Lunes;0;0;0;0;298;433;522;567;567;582;657;761;836;836;717;0;0;0
2021-09-07;Cordoba;6904.0;1;Martes;0;0;0;0;347;458;537;568;568;584;663;774;837;837;726;0;0;0
2021-09-08;Cordoba;7318.0;2;Miércoles;0;0;0;0;365;486;562;608;623;669;730;806;867;851;745;0;0;0
2021-09-09;Cordoba;7302.0;3;Jueves;0;0;0;0;355;473;562;607;622;636;681;770;873;903;814;0;0;0
2021-09-10;Cordoba;9935.0;4;Viernes;0;0;0;0;419;591;743;839;896;915;953;1029;1144;1220;1182;0;0;0
2021-09-11;Cordoba;14015.0;5;Sábado;0;0;0;0;464;686;888;1050;1171;1272;1413;1615;1817;1878;1756;0;0;0
2021-09-12;Cordoba;9946.0;6;Domingo;0;0;0;0;240;381;550;692;819;932;1059;1229;1384;1412;1243;0;0;0
2021-09-13;Cordoba;6343.0;0;Lunes;0;0;0;0;279;405;488;530;530;544;614;712;782;782;670;0;0;0
2021-09-14;Cordoba;7434.0;1;Martes;0;0;0;0;374;493;578;612;612;629;714;833;901;901;782;0;0;0
2021-09-15;Cordoba;6779.0;2;Miércoles;0;0;0;0;338;450;521;563;577;620;676;746;803;789;690;0;0;0
2021-09-16;Cordoba;6851.0;3;Jueves;0;0;0;0;333;444;528;569;583;597;639;722;819;847;764;0;0;0
2021-09-17;Cordoba;9128.0;4;Viernes;0;0;0;0;385;543;683;770;823;840;876;946;1051;1121;1086;0;0;0
2021-09-18;Cordoba;12457.0;5;Sábado;0;0;0;0;412;610;789;933;1041;1130;1256;1435;1615;1669;1561;0;0;0
2021-09-19;Cordoba;10361.0;6;Domingo;0;0;0;0;250;397;573;721;853;971;1103;1280;1442;1471;1295;0;0;0
2021-09-20;Cordoba;6296.0;0;Lunes;0;0;0;0;277;402;485;526;526;540;610;707;776;776;665;0;0;0
2021-09-21;Cordoba;8323.0;1;Martes;0;0;0;0;419;552;647;685;685;704;799;933;1009;1009;876;0;0;0
2021-09-22;Cordoba;7140.0;2;Miércoles;0;0;0;0;356;475;549;593;608;653;712;786;846;831;727;0;0;0
2021-09-23;Cordoba;7425.0;3;Jueves;0;0;0;0;361;481;572;617;632;647;692;783;888;918;828;0;0;0
2021-09-24;Cordoba;9053.0;4;Viernes;0;0;0;0;382;538;677;764;816;834;868;938;1042;1112;1077;0;0;0
2021-09-25;Cordoba;11981.0;5;Sábado;0;0;0;0;397;586;759;897;1001;1087;1208;1381;1553;1605;1501;0;0;0
2021-09-26;Cordoba;9114.0;6;Domingo;0;0;0;0;220;349;504;634;750;854;970;1126;1268;1294;1139;0;0;0
2021-09-27;Cordoba;1710.0;0;Lunes;0;0;0;0;75;109;131;143;143;146;165;192;210;210;180;0;0;0
2021-09-28;Cordoba;6938.0;1;Martes;0;0;0;0;349;460;539;571;571;587;666;777;841;841;730;0;0;0
2021-09-29;Cordoba;6715.0;2;Miércoles;0;0;0;0;335;446;516;558;572;614;670;739;795;781;684;0;0;0
2021-09-30;Cordoba;8619.0;3;Jueves;0;0;0;0;419;559;664;716;734;751;804;909;1031;1066;961;0;0;0
2021-10-01;Cordoba;9512.0;4;Viernes;0;0;0;0;401;565;712;803;858;876;912;985;1095;1168;1131;0;0;0
2021-10-02;Cordoba;12455.0;5;Sábado;0;0;0;0;412;610;789;933;1040;1130;1256;1435;1615;1669;1561;0;0;0
2021-10-03;Cordoba;9994.0;6;Domingo;0;0;0;0;241;383;553;695;823;936;1064;1235;1391;1419;1249;0;0;0
2021-10-04;Cordoba;6529.0;0;Lunes;0;0;0;0;287;417;503;546;546;560;632;733;805;805;690;0;0;0
2021-10-05;Cordoba;7622.0;1;Martes;0;0;0;0;383;505;593;627;627;645;732;854;924;924;802;0;0;0
2021-10-06;Cordoba;7899.0;2;Miércoles;0;0;0;0;394;525;607;656;673;722;788;870;936;919;804;0;0;0
2021-10-07;Cordoba;9841.0;3;Jueves;0;0;0;0;479;638;758;818;838;858;918;1037;1177;1217;1097;0;0;0
2021-10-08;Cordoba;14065.0;4;Viernes;0;0;0;0;593;836;1052;1187;1268;1295;1349;1457;1619;1727;1673;0;0;0
2021-10-09;Cordoba;14209.0;5;Sábado;0;0;0;0;470;696;900;1064;1187;1289;1433;1637;1842;1904;1781;0;0;0
2021-10-10;Cordoba;13032.0;6;Domingo;0;0;0;0;314;499;721;907;1073;1221;1388;1610;1814;1851;1629;0;0;0
2021-10-11;Cordoba;12600.0;0;Lunes;0;0;0;0;555;804;971;1054;1054;1082;1221;1415;1554;1554;1332;0;0;0
2021-10-12;Cordoba;8561.0;1;Martes;0;0;0;0;430;568;666;705;705;724;822;959;1038;1038;901;0;0;0
2021-10-13;Cordoba;8789.0;2;Miércoles;0;0;0;0;438;584;676;730;749;803;877;968;1041;1023;895;0;0;0
2021-10-14;Cordoba;8356.0;3;Jueves;0;0;0;0;406;542;644;694;711;728;779;881;1000;1033;932;0;0;0
2021-10-15;Cordoba;13854.0;4;Viernes;0;0;0;0;585;824;1037;1170;1249;1276;1329;1435;1595;1701;1648;0;0;0
2021-10-16;Cordoba;18628.0;5;Sábado;0;0;0;0;617;912;1181;1395;1556;1691;1878;2147;2415;2496;2335;0;0;0
2021-10-17;Cordoba;10806.0;6;Domingo;0;0;0;0;260;414;598;752;890;1013;1151;1335;1504;1534;1350;0;0;0
2021-10-18;Cordoba;6822.0;0;Lunes;0;0;0;0;300;435;525;571;571;586;661;766;841;841;721;0;0;0
2021-10-19;Cordoba;7355.0;1;Martes;0;0;0;0;370;488;572;605;605;622;706;824;892;892;774;0;0;0
2021-10-20;Cordoba;6982.0;2;Miércoles;0;0;0;0;348;464;537;580;595;638;696;769;827;812;711;0;0;0
2021-10-21;Cordoba;7657.0;3;Jueves;0;0;0;0;372;497;590;636;652;667;714;807;916;947;854;0;0;0
2021-10-22;Cordoba;9728.0;4;Viernes;0;0;0;0;410;578;728;821;877;896;933;1008;1120;1194;1157;0;0;0
2021-10-23;Cordoba;14350.0;5;Sábado;0;0;0;0;475;703;909;1075;1199;1302;1447;1654;1860;1922;1798;0;0;0
2021-10-24;Cordoba;10868.0;6;Domingo;0;0;0;0;262;416;602;756;895;1018;1157;1343;1512;1543;1358;0;0;0
2021-10-25;Cordoba;6454.0;0;Lunes;0;0;0;0;284;412;497;540;540;554;625;725;796;796;682;0;0;0
2021-10-26;Cordoba;6943.0;1;Martes;0;0;0;0;349;460;540;571;571;587;667;778;842;842;730;0;0;0
2021-10-27;Cordoba;7327.0;2;Miércoles;0;0;0;0;365;487;563;609;624;670;731;807;868;853;746;0;0;0
2021-10-28;Cordoba;6998.0;3;Jueves;0;0;0;0;340;454;539;581;596;610;652;738;837;865;780;0;0;0
2021-10-29;Cordoba;9283.0;4;Viernes;0;0;0;0;391;552;694;783;837;855;890;962;1069;1140;1104;0;0;0
2021-10-30;Cordoba;10783.0;5;Sábado;0;0;0;0;357;528;683;807;901;978;1087;1242;1398;1444;1351;0;0;0
2021-10-31;Cordoba;11082.0;6;Domingo;0;0;0;0;267;425;613;771;913;1038;1180;1369;1542;1574;1385;0;0;0
2021-11-01;Cordoba;7145.0;0;Lunes;0;0;0;0;314;456;550;598;598;613;692;802;881;881;755;0;0;0
2021-11-02;Cordoba;7063.0;1;Martes;0;0;0;0;355;468;549;581;581;598;678;791;856;856;743;0;0;0
2021-11-03;Cordoba;7758.0;2;Miércoles;0;0;0;0;387;516;596;645;661;709;774;854;919;903;790;0;0;0
2021-11-04;Cordoba;7465.0;3;Jueves;0;0;0;0;363;484;575;620;635;651;696;787;893;923;832;0;0;0
2021-11-05;Cordoba;12115.0;4;Viernes;0;0;0;0;511;720;906;1023;1092;1116;1162;1255;1395;1488;1441;0;0;0
2021-11-06;Cordoba;16059.0;5;Sábado;0;0;0;0;532;786;1018;1203;1342;1457;1619;1851;2082;2151;2013;0;0;0
2021-11-07;Cordoba;14341.0;6;Domingo;0;0;0;0;346;550;794;998;1181;1344;1527;1772;1996;2037;1792;0;0;0
2021-11-08;Cordoba;7573.0;0;Lunes;0;0;0;0;333;483;583;633;633;650;733;850;934;934;800;0;0;0
2021-11-09;Cordoba;7968.0;1;Martes;0;0;0;0;401;528;619;656;656;674;765;893;966;966;838;0;0;0
2021-11-10;Cordoba;8257.0;2;Miércoles;0;0;0;0;411;549;635;686;703;755;823;909;978;961;841;0;0;0
2021-11-11;Cordoba;8983.0;3;Jueves;0;0;0;0;437;583;692;747;765;783;838;947;1075;1111;1002;0;0;0
2021-11-12;Cordoba;10220.0;4;Viernes;0;0;0;0;431;608;765;863;921;941;980;1059;1176;1255;1216;0;0;0
2021-11-13;Cordoba;12191.0;5;Sábado;0;0;0;0;404;597;772;913;1018;1106;1229;1405;1580;1633;1528;0;0;0
2021-11-14;Cordoba;12109.0;6;Domingo;0;0;0;0;292;464;670;842;997;1135;1290;1496;1685;1720;1513;0;0;0
2021-11-15;Cordoba;6851.0;0;Lunes;0;0;0;0;301;437;528;573;573;588;663;769;845;845;724;0;0;0
2021-11-16;Cordoba;7195.0;1;Martes;0;0;0;0;362;477;559;592;592;609;691;806;872;872;757;0;0;0
2021-11-17;Cordoba;7238.0;2;Miércoles;0;0;0;0;361;481;556;601;616;662;722;797;857;842;737;0;0;0
2021-11-18;Cordoba;8078.0;3;Jueves;0;0;0;0;393;524;622;671;688;704;753;852;966;999;901;0;0;0
2021-11-19;Cordoba;10190.0;4;Viernes;0;0;0;0;430;606;762;860;919;938;977;1056;1173;1251;1212;0;0;0
2021-11-20;Cordoba;12055.0;5;Sábado;0;0;0;0;399;590;764;903;1007;1094;1215;1389;1563;1615;1511;0;0;0
2021-11-21;Cordoba;9774.0;6;Domingo;0;0;0;0;236;374;541;680;805;916;1041;1207;1360;1388;1221;0;0;0
2021-11-22;Cordoba;9911.0;0;Lunes;0;0;0;0;436;633;764;829;829;851;960;1113;1222;1222;1047;0;0;0
